epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,731.762,1.57372,0.83928,1.14906,0.87883,0.79978,0.8518,0.49639,1.40134,0.64856,1.02364,0.00999513,0.00333171,0.00999513,0.00333171,0.00999513,0.00333171,0.00999513,0.00333171
2,4434.27,1.41434,0.66277,1.04932,0.88893,0.8178,0.86612,0.50102,1.41994,0.64046,1.02049,0.0197972,0.00659906,0.0197972,0.00659906,0.0197972,0.00659906,0.0197972,0.00659906
3,6737.41,1.42506,0.66765,1.04519,0.89219,0.80981,0.86325,0.50729,1.37541,0.64005,1.01603,0.0294012,0.00980041,0.0294012,0.00980041,0.0294012,0.00980041,0.0294012,0.00980041
4,8643.93,1.39839,0.66225,1.04048,0.89844,0.82554,0.87742,0.50838,1.40474,0.61381,1.01545,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,655.441,1.35859,0.63083,1.02852,0.89492,0.826,0.87454,0.51438,1.38781,0.59762,1.0094,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4217.91,1.33368,0.61212,1.02296,0.90302,0.83289,0.8825,0.52395,1.3732,0.58369,1.00624,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4936.48,1.31513,0.59918,1.01237,0.90208,0.83728,0.88297,0.53164,1.35139,0.57511,1.00041,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8148.05,1.29108,0.58348,1.006,0.90698,0.8406,0.89173,0.5282,1.36524,0.56989,1.00071,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,653.984,1.2765,0.57369,1.00145,0.90189,0.84161,0.88287,0.52447,1.38256,0.5678,1.00229,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4342.94,1.26877,0.56691,1.00042,0.90605,0.84792,0.89456,0.5377,1.34916,0.55825,0.99434,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4999.07,1.26173,0.56003,0.99431,0.90352,0.84775,0.89121,0.53891,1.33779,0.55221,0.99389,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7602.69,1.24697,0.55232,0.9909,0.908,0.84871,0.89466,0.53399,1.36404,0.55453,0.99591,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8392.96,1.26384,0.56161,0.9985,0.9069,0.84698,0.8959,0.52889,1.38424,0.55684,0.99813,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9074.94,1.25485,0.55769,0.99677,0.90617,0.84907,0.89663,0.5281,1.38731,0.55782,0.99819,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,9915.27,1.25372,0.55365,0.99256,0.91078,0.85323,0.89915,0.52914,1.39244,0.54854,0.99975,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10579.9,1.2505,0.5493,0.9924,0.91399,0.85242,0.89825,0.53526,1.37434,0.54411,0.9948,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,12241.8,1.2428,0.54667,0.9914,0.90729,0.85511,0.8963,0.53632,1.36521,0.54573,0.99236,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
