epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.43,3.89812,1.75861,2.55319,0.22731,0.16103,0.09102,0.02286,3.61257,2.08298,2.16644,0.000665904,0.000665904,0.000665904
2,420.871,2.95458,1.44902,1.87693,0.04553,0.08812,0.01394,0.00341,3.9151,2.43057,2.2939,0.00131938,0.00131938,0.00131938
3,622.107,2.71773,1.39716,1.72711,0.09923,0.17169,0.04298,0.01054,3.57084,2.15553,2.18138,0.00195965,0.00195965,0.00195965
4,819.13,2.5707,1.35459,1.64183,0.0692,0.08796,0.01776,0.00373,3.91123,2.98816,2.35154,0.0019406,0.0019406,0.0019406
5,1056.06,2.45337,1.34996,1.54265,0.0401,0.08071,0.01142,0.00407,4.20895,3.05356,2.51858,0.0019208,0.0019208,0.0019208
6,1265.85,2.37235,1.31389,1.48606,0.20147,0.14946,0.07083,0.01819,3.57009,3.12701,2.11015,0.001901,0.001901,0.001901
7,1477.11,2.34314,1.30337,1.45863,0.21773,0.20327,0.09125,0.0252,3.18663,2.52869,1.94093,0.0018812,0.0018812,0.0018812
8,1758.55,2.26789,1.26599,1.42643,0.18759,0.13234,0.06021,0.01736,3.60549,2.63979,2.11008,0.0018614,0.0018614,0.0018614
9,1959.94,2.22823,1.23681,1.40097,0.02951,0.059,0.0087,0.00365,4.32931,5.20881,2.3941,0.0018416,0.0018416,0.0018416
10,2165.2,2.20806,1.22605,1.38932,0.0413,0.07731,0.00992,0.00465,4.2937,4.56857,2.16171,0.0018218,0.0018218,0.0018218
11,2369.45,2.16194,1.20184,1.36962,0.41128,0.26546,0.21664,0.0674,2.93987,2.03752,1.84107,0.001802,0.001802,0.001802
12,2568.29,2.15096,1.18879,1.3588,0.08511,0.08176,0.0197,0.00587,4.15037,3.75092,2.37482,0.0017822,0.0017822,0.0017822
13,2769.77,2.12215,1.17739,1.34928,0.06333,0.12531,0.02399,0.00821,3.45838,2.20272,1.94764,0.0017624,0.0017624,0.0017624
14,2973.4,2.10435,1.1642,1.33744,0.05083,0.05792,0.01156,0.0042,4.31019,3.42976,2.41844,0.0017426,0.0017426,0.0017426
15,3181.34,2.09868,1.1604,1.32679,0.09801,0.09559,0.027,0.00888,3.63496,3.65111,2.11745,0.0017228,0.0017228,0.0017228
16,3659.06,2.08951,1.15017,1.32089,0.04101,0.08261,0.00626,0.00119,4.1197,4.20287,2.42694,0.001703,0.001703,0.001703
17,3868.4,2.05112,1.12499,1.30299,0.05973,0.04188,0.01421,0.00558,4.2958,4.34807,2.56355,0.0016832,0.0016832,0.0016832
18,4065.45,2.04793,1.12802,1.30431,0.15133,0.1436,0.04736,0.01135,3.63153,2.07177,2.09743,0.0016634,0.0016634,0.0016634
19,4262.04,2.01884,1.10666,1.29094,0.33891,0.14284,0.11729,0.03886,3.11604,2.27059,1.87106,0.0016436,0.0016436,0.0016436
20,4458.19,2.02806,1.11494,1.29328,0.11126,0.05642,0.02393,0.00852,3.88385,3.66603,2.47707,0.0016238,0.0016238,0.0016238
21,4661.77,1.99483,1.09479,1.28495,0.41106,0.28521,0.24707,0.08749,2.63375,1.83344,1.57154,0.001604,0.001604,0.001604
22,4867.36,1.97773,1.08385,1.26757,0.30872,0.23662,0.16229,0.05512,2.88449,1.97725,1.70354,0.0015842,0.0015842,0.0015842
23,5071.15,1.96974,1.07796,1.26594,0.00776,0.01562,0.00508,0.00351,4.7181,6.98204,2.9854,0.0015644,0.0015644,0.0015644
24,5282.69,1.95132,1.06978,1.25415,0.25906,0.12737,0.08252,0.02767,3.39215,2.74897,2.06157,0.0015446,0.0015446,0.0015446
25,5496.54,1.95481,1.06577,1.24759,0.1413,0.13306,0.04813,0.01394,3.61514,2.79173,2.16823,0.0015248,0.0015248,0.0015248
26,5708.18,1.93862,1.05751,1.24632,0.08583,0.16267,0.02959,0.01022,3.38516,2.38224,2.14005,0.001505,0.001505,0.001505
27,5925.12,1.92013,1.04336,1.24023,0.53841,0.34913,0.34198,0.11392,2.58854,1.49536,1.48486,0.0014852,0.0014852,0.0014852
28,6130.47,1.93129,1.04718,1.23498,0.17407,0.18371,0.05807,0.01671,3.39741,2.7989,2.05773,0.0014654,0.0014654,0.0014654
29,6340.98,1.92032,1.0437,1.22866,0.27789,0.16233,0.10838,0.03264,3.18727,1.99383,1.82684,0.0014456,0.0014456,0.0014456
30,6632.96,1.90207,1.0334,1.22138,0.10186,0.08917,0.02451,0.00775,3.87308,3.78608,2.40174,0.0014258,0.0014258,0.0014258
31,6841.67,1.89885,1.0293,1.22181,0.53817,0.39737,0.3747,0.14632,2.38111,1.57261,1.4691,0.001406,0.001406,0.001406
32,7046.28,1.8945,1.0218,1.21307,0.06436,0.06632,0.01893,0.00758,4.03574,3.67508,2.61651,0.0013862,0.0013862,0.0013862
33,7264.92,1.89094,1.0169,1.20435,0.45651,0.27075,0.25361,0.10043,2.64576,1.65524,1.58719,0.0013664,0.0013664,0.0013664
